datetime,open,high,low,close,volume
2021-02-01 00:00:00,13529.0,13536.0,13528.0,13532.0,24
2021-02-01 00:05:00,13537.0,13540.0,13531.0,13533.0,18
2021-02-01 00:10:00,13534.0,13544.0,13534.0,13538.0,15
2021-02-01 00:15:00,13541.0,13546.0,13539.0,13546.0,23
2021-02-01 00:20:00,13548.0,13555.0,13540.0,13548.0,82
2021-02-01 00:25:00,13545.0,13545.0,13533.0,13538.0,42
2021-02-01 00:30:00,13537.0,13537.0,13529.0,13529.0,53
2021-02-01 00:35:00,13529.0,13532.0,13523.0,13526.0,26
2021-02-01 00:40:00,13526.0,13538.0,13524.0,13535.0,32
2021-02-01 00:45:00,13535.0,13535.0,13530.0,13533.0,7
2021-02-01 00:50:00,13533.0,13536.0,13528.0,13528.0,13
2021-02-01 00:55:00,13525.0,13538.0,13518.0,13538.0,65
2021-02-01 01:00:00,13537.0,13572.0,13529.0,13532.0,414
2021-02-01 01:05:00,13533.0,13536.0,13504.0,13512.0,374
2021-02-01 01:10:00,13513.0,13522.0,13508.0,13511.0,137
2021-02-01 01:15:00,13512.0,13550.0,13509.0,13544.0,264
2021-02-01 01:20:00,13540.0,13566.0,13540.0,13565.0,213
2021-02-01 01:25:00,13565.0,13591.0,13560.0,13570.0,397
2021-02-01 01:30:00,13571.0,13582.0,13568.0,13570.0,279
2021-02-01 01:35:00,13572.0,13577.0,13562.0,13563.0,113
2021-02-01 01:40:00,13561.0,13572.0,13559.0,13565.0,125
2021-02-01 01:45:00,13564.0,13566.0,13554.0,13556.0,122
2021-02-01 01:50:00,13554.0,13563.0,13549.0,13560.0,103
2021-02-01 01:55:00,13561.0,13573.0,13555.0,13568.0,315
2021-02-01 02:00:00,13571.0,13575.0,13525.0,13554.0,1557
2021-02-01 02:05:00,13552.0,13587.0,13542.0,13573.0,1006
2021-02-01 02:10:00,13573.0,13595.0,13547.0,13564.0,940
2021-02-01 02:15:00,13565.0,13584.0,13563.0,13580.0,721
2021-02-01 02:20:00,13581.0,13587.0,13565.0,13565.0,611
2021-02-01 02:25:00,13565.0,13577.0,13544.0,13547.0,617
2021-02-01 02:30:00,13547.0,13577.0,13530.0,13535.0,699
2021-02-01 02:35:00,13534.0,13544.0,13508.0,13543.0,696
2021-02-01 02:40:00,13545.0,13561.0,13535.0,13555.0,578
2021-02-01 02:45:00,13556.0,13572.0,13556.0,13566.0,315
2021-02-01 02:50:00,13566.0,13585.0,13566.0,13579.0,396
2021-02-01 02:55:00,13581.0,13589.0,13565.0,13579.0,391
2021-02-01 03:00:00,13579.0,13591.0,13575.0,13581.0,347
2021-02-01 03:05:00,13581.0,13585.0,13568.0,13580.0,371
2021-02-01 03:10:00,13580.0,13603.0,13580.0,13592.0,460
2021-02-01 03:15:00,13593.0,13620.0,13591.0,13606.0,855
2021-02-01 03:20:00,13606.0,13617.0,13600.0,13605.0,375
2021-02-01 03:25:00,13607.0,13617.0,13594.0,13601.0,374
2021-02-01 03:30:00,13601.0,13609.0,13595.0,13597.0,201
2021-02-01 03:35:00,13595.0,13599.0,13578.0,13580.0,396
2021-02-01 03:40:00,13582.0,13586.0,13559.0,13564.0,441
2021-02-01 03:45:00,13562.0,13568.0,13541.0,13556.0,505
2021-02-01 03:50:00,13556.0,13567.0,13547.0,13556.0,349
2021-02-01 03:55:00,13553.0,13568.0,13551.0,13566.0,300
2021-02-01 04:00:00,13563.0,13576.0,13563.0,13575.0,228
2021-02-01 04:05:00,13576.0,13581.0,13567.0,13580.0,285
2021-02-01 04:10:00,13581.0,13588.0,13576.0,13580.0,154
2021-02-01 04:15:00,13580.0,13588.0,13575.0,13583.0,246
2021-02-01 04:20:00,13584.0,13593.0,13581.0,13583.0,196
