datetime,open,high,low,close,volume
2021-04-06 00:00:00,15248.0,15250.0,15248.0,15249.0,8
2021-04-06 00:05:00,15250.0,15250.0,15247.0,15247.0,12
2021-04-06 00:10:00,15249.0,15251.0,15246.0,15248.0,22
2021-04-06 00:15:00,15247.0,15247.0,15242.0,15242.0,24
2021-04-06 00:20:00,15245.0,15247.0,15244.0,15247.0,29
2021-04-06 00:25:00,15245.0,15248.0,15240.0,15241.0,56
2021-04-06 00:30:00,15241.0,15251.0,15240.0,15247.0,134
2021-04-06 00:35:00,15247.0,15251.0,15246.0,15248.0,27
2021-04-06 00:40:00,15248.0,15248.0,15243.0,15244.0,39
2021-04-06 00:45:00,15244.0,15252.0,15243.0,15252.0,35
2021-04-06 00:50:00,15254.0,15270.0,15252.0,15269.0,129
2021-04-06 00:55:00,15269.0,15275.0,15269.0,15271.0,139
2021-04-06 01:00:00,15270.0,15298.0,15266.0,15296.0,685
2021-04-06 01:05:00,15296.0,15307.0,15296.0,15303.0,394
2021-04-06 01:10:00,15303.0,15307.0,15296.0,15297.0,328
2021-04-06 01:15:00,15297.0,15302.0,15296.0,15300.0,212
2021-04-06 01:20:00,15301.0,15304.0,15297.0,15299.0,161
2021-04-06 01:25:00,15300.0,15307.0,15296.0,15304.0,224
2021-04-06 01:30:00,15304.0,15305.0,15297.0,15305.0,169
2021-04-06 01:35:00,15306.0,15319.0,15306.0,15313.0,350
2021-04-06 01:40:00,15313.0,15315.0,15310.0,15314.0,153
2021-04-06 01:45:00,15314.0,15319.0,15312.0,15317.0,282
2021-04-06 01:50:00,15317.0,15336.0,15317.0,15335.0,285
2021-04-06 01:55:00,15336.0,15338.0,15320.0,15321.0,521
2021-04-06 02:00:00,15320.0,15329.0,15279.0,15283.0,2641
2021-04-06 02:05:00,15285.0,15285.0,15239.0,15251.0,3005
2021-04-06 02:10:00,15250.0,15255.0,15223.0,15226.0,1559
2021-04-06 02:15:00,15228.0,15244.0,15221.0,15244.0,1091
2021-04-06 02:20:00,15244.0,15282.0,15243.0,15278.0,1034
2021-04-06 02:25:00,15279.0,15289.0,15272.0,15288.0,808
2021-04-06 02:30:00,15288.0,15292.0,15273.0,15283.0,922
2021-04-06 02:35:00,15283.0,15311.0,15280.0,15307.0,827
2021-04-06 02:40:00,15307.0,15321.0,15303.0,15319.0,837
2021-04-06 02:45:00,15320.0,15327.0,15290.0,15294.0,1153
2021-04-06 02:50:00,15296.0,15297.0,15285.0,15292.0,569
2021-04-06 02:55:00,15293.0,15296.0,15262.0,15270.0,838
2021-04-06 03:00:00,15271.0,15278.0,15266.0,15275.0,374
2021-04-06 03:05:00,15276.0,15279.0,15269.0,15276.0,298
2021-04-06 03:10:00,15276.0,15276.0,15251.0,15253.0,481
2021-04-06 03:15:00,15252.0,15252.0,15235.0,15247.0,784
2021-04-06 03:20:00,15247.0,15250.0,15243.0,15244.0,491
2021-04-06 03:25:00,15244.0,15247.0,15233.0,15246.0,426
2021-04-06 03:30:00,15247.0,15277.0,15246.0,15273.0,607
2021-04-06 03:35:00,15273.0,15292.0,15273.0,15290.0,597
2021-04-06 03:40:00,15290.0,15307.0,15290.0,15293.0,868
2021-04-06 03:45:00,15293.0,15301.0,15287.0,15288.0,451
2021-04-06 03:50:00,15288.0,15289.0,15279.0,15280.0,492
2021-04-06 03:55:00,15281.0,15284.0,15267.0,15268.0,443
2021-04-06 04:00:00,15268.0,15269.0,15253.0,15259.0,512
2021-04-06 04:05:00,15258.0,15263.0,15256.0,15259.0,290
2021-04-06 04:10:00,15258.0,15258.0,15249.0,15250.0,274
2021-04-06 04:15:00,15251.0,15258.0,15244.0,15258.0,432
2021-04-06 04:20:00,15256.0,15265.0,15251.0,15261.0,565
2021-04-06 04:25:00,15262.0,15263.0,15252.0,15252.0,266
2021-04-06 04:30:00,15252.0,15254.0,15245.0,15253.0,347
2021-04-06 04:35:00,15254.0,15264.0,15252.0,15261.0,204
2021-04-06 04:40:00,15262.0,15263.0,15253.0,15256.0,333
2021-04-06 04:45:00,15257.0,15269.0,15257.0,15263.0,272
2021-04-06 04:50:00,15264.0,15267.0,15247.0,15248.0,211
2021-04-06 04:55:00,15248.0,15262.0,15246.0,15260.0,233
2021-04-06 05:00:00,15260.0,15272.0,15260.0,15268.0,196
